ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,content_new,sentiment
443,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",29/04/2023,17:06,5,308500015,dễ_dàng thoải_mái,0
1030,"Sử dụng dễ dãng,rất thoải mái,thư giãn tột độ",30/04/2023,15:04,5,308500015,dễ_dàng thoải_mái,0
689,Mình rất thích hasaki va sp tẩy trang này,30/04/2023,18:34,5,422216594,thích hasaki_tẩy,0
2519,"Sản phẩm có khả năng làm sạch tốt. Lớp trang điểm trên da, mắt và môi nhanh chóng bị loại bỏ. Chỉ cần lau qua bằng một miếng bông tẩy trang là toàn bộ bụi bẩn, dầu thừa và lớp make-up đã được lấy đi. Vì thế, dùng cực kỳ tiết kiệm. Thêm nữa, em này cũng phù hợp cho da đang bị kích ứng. Bởi sản phẩm không chỉ làm sạch da mà còn làm dịu, giúp giảm tình trạng ngứa ngáy, khó chịu.",17/07/2022,13:48,5,204100075,sạch tốt loại_bỏ bẩn dầu_thừa kích_ứng sạch mà_còn dịu giúp,0
402,"Sữa rửa mặt tốt,sạch mụn,mịn da,đáng mua nha",15/04/2023,23:04,5,422208977,rửa tốt sạch mịn,0
2517,"Sau 77 49 dòng srm, thì chân ái là đây, mua tuyp nhỏ dùng thử trc, thấy ok nên nay mua chai 400ml luôn, nay là chai thứ 2 r ms lên đây đánh giá. Ns chung ai da nhờn, khô, hay hở tí là nổi mụn thì chai này ok nha, 100 điểm",25/12/2022,17:11,5,204100019,chân_ái thử khô khô nổi,0
1750,"Đó giờ mình sài bha của obagi cũng 3-4 chai rồi. Nay đổi qua thử sài của plc xem thế nào . Hasaki chuẩn bị giao hàng nhanh , có kèm quà tặng, hết quà thì có trừ tiền sp cho mình",9/7/2022,4:34,5,100220035,xài đổi kèm tặng trừ,0
3394,Rất ok mình xài 2 chai rồi,7/7/2022,11:18,5,204100024,đồng_ý xài,0
1817,"Mik bị kich ứng, không hợp sản phẩm, sd được 3ngay , pass lai cho bạn nào cần nha",5/2/2024,3:50,4,422216354,ứng không_hợp sản_phẩm,0
3556,nhân viên tư vấn như mới train và được nhận vì da đẹp thôi á.t hỏi mấy sp dán mụn thôi mà trả lời sai tè le ra.mà mua về mở sp ra số luong cũng k như tư vấn,12/9/2023,22:33,5,100250032,tư_vấn đẹp thôi_á dán trả_lời không_như,0
2375,"Mùi thơm dịu nhe , mát nhanh, thư giãn tột dộ",29/04/2023,16:52,5,422205163,mát,0
2027,"Mình khum đánh giá cao cái vụ nâng tông trắng da lắm, chỉ chỉnh được khoảng nửa-1 tông thôi. nhưng vừa chống nắng vừa làm kem lót thì phê nha, hợp mấy kiểu make up no make up đồ đó, đi học đi chơi tự nhiên không có bị dày & nặng mặt",24/10/2022,18:02,5,249500019,khum nâng trắng lắm chỉnh chống làm_lót phê_hợp học dày,0
2928,"dù là hay được so sánh với BNBG nhma mình thấy con này cấp ẩm không tốt bằng BNBG nhưng vẫn rất tốt trong tầm giá, với mình da dầu thì da đủ ẩm và thoải mái sau mấy ngày treat. 13k cho một cái mặt nạ thì không cần bàn cãi, 10/10",27/03/2024,22:14,5,422209718,khô sánh nhma lừa tốt_trọng tầm_giá thoải_mái,0
3059,"Miếng bông quá mỏng. thấm có chút nước tẩy trang/toner là bông bị nhũn liền, lau lên mặt là bị tưa ra. Nên mua sản phẩm khác để đáp ứng nhu cầu tốt hơn.",19/12/2020,7:52,2,413400001,mỏng thấm tẩy nhũn liền tưa đáp_ứng tốt,1
1118,"Xài tốt, tẩy trang sạch, mình xài thấy thích hơn nhiều so với nước tẩy trang của Loreal và Innisfree, không có mùi hoá học, da không bị châm chích. Mình xài chỉ kẻ mày lâu trôi nhưng chỉ cần chùi qua một hai lần là sạch rồi. Để lợi hơn mọi người có thể mua chung với gel rửa mặt",22/06/2021,9:30,5,422204884,xài sạch xài thích không_bị châm chích xài trôi chùi sạch lợi rửa,0
2273,Hơi bết và trắng quá,17/12/2022,11:20,4,422208183,hơi bết trắng,0
736,sản phẩm tốt,5/12/2022,15:52,5,100230056,tốt,0
731,"Mua chai thứ 4 5 gì rồi, đúng kiểu tiền nào của nấy, xài ok hơn nhiều, mà dùng tẩy trang hàng ngày nên hơi hao",4/3/2023,19:08,5,100230056,xài đồng_ý hơi,0
4234,"rít mặt nên đắp xomg phải lau lại rôid dùng dưỡng sau đó. tuy nhiên mask khá tốt, đắp xong ko bị kích ứng gì cả...",17/07/2023,23:05,4,422205637,rít đắp mask tốt_đắp,0
2696,quá ok luôn,18/08/2019,23:21,5,422203776,đồng_ý,0
1806,Shop ban hang ok,8/12/2016,7:54,5,422216098,cấm đồng_ý,0
1281,"mình thấy ok, đúng là tiền nào của nấy",11/10/2021,12:13,5,204900005,,0
3417,"mùi tự nhiên, có hạt nhẹ, không rát, không kích ứng (da mình khá mỏng). Nhìn chung xài ok, nên thử. Tuýp 30g bé tí teo í, phải hỏi bạn nv lấy giùm chứ tìm mỏi mắt ko thấy",30/06/2022,22:32,5,351700026,tự_nhiên nhẹ không_rát mỏng xài thử tí_í giùm,0
1268,"440k mà 400ml . Dùng sạch mà bản mới không bị khô , đã , sạch dầu",18/09/2024,12:03,5,204900056,sạch không_bị khô sạch,0
1360,"Trời ơi tui stress vì làn da luôn xài cái này hiệu quả trông thấy nha mấy bà, 10 điểm cho sản phẩm",3/7/2024,8:06,5,422208328,nhấn_mạnh làn xài hiệu_quả trông,0
2255,"theo quan điểm của mình, sản phẩm có dung tích lớn giá lại rẻ, hợp với các bạn học sinh sinh viên chưa có quá nhiều vấn đề trên da chỉ đơn giản là muốn làm sạch, sản phẩm sẽ có mùi rất thơm nên bạn nào nhạy cảm với hương liệu thì nên cân nhắc, ngoài ra sữa rửa mặt này cũng tạo bọt rất mịn",12/10/2021,21:48,5,357100011,rẻ_hợp học_viên đơn_giản sạch sản_phẩm thơm nhạy_cảm cân_nhắc rửa mịn,0
